date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,mean_incidences_per_permu,median_incidences_per_permu,mean_num_of_entries_per_permu
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0024271844660194173
2020-01-23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0024271844660194173
2020-02-04,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0.1108652450812196,0.0,0.04854368932038835
2020-02-20,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0.0,0.0,0.02912621359223301
2020-02-26,-2,0,0,0,0,0,0,0,2,1,2,0,0,0,0.45753176972428544,0.0,0.03398058252427184
2020-02-28,-2,0,0,0,0,0,0,1,2,1,2,0,0,1,1.0732812017356657,0.0,0.0412621359223301
2020-03-07,-2,0,1,0,0,0,0,1,2,1,2,0,0,1,0.8417475750261645,0.1399215879421172,0.8956310679611651
2020-03-09,-2,0,1,0,0,1,0,1,2,1,2,0,0,1,2.44907608572529,0.7970418011050885,0.2912621359223301
2020-03-12,-2,0,-2,-1,0,1,0,1,2,1,2,0,0,1,3.7732530477873563,2.4855254693256916,3.2354368932038833
2020-03-16,-3,0,-2,-1,0,1,0,3,2,1,2,0,0,1,9.803750518367085,7.356427633276471,1.5218446601941749
2020-03-18,3,0,-2,-1,0,1,1,4,2,1,1,0,0,1,14.709551366764567,10.929070333535355,0.8616504854368932
2020-03-19,3,0,-2,-1,0,1,-2,4,2,1,1,0,0,1,17.54645709332459,12.894226317115912,0.9101941747572816
2020-03-20,3,0,2,-1,0,1,-2,4,2,1,1,0,0,1,20.975340482888626,16.24799361896978,0.8956310679611651
2020-03-21,3,0,2,-4,0,-2,-2,4,2,1,1,0,0,1,25.448565976961,20.559548676787447,0.7694174757281553
2020-03-22,3,2,2,4,0,-2,-2,4,2,1,1,0,0,3,35.26925168792778,28.02932941320301,8.822815533980583
2020-04-01,3,2,2,4,0,-2,-2,4,2,1,1,1,0,3,46.11385017424985,34.456227952116045,4.5
2020-04-06,3,2,2,4,0,-2,-2,4,2,1,1,-2,0,3,28.768554283790778,22.295256326340684,16.262135922330096
2020-04-28,3,2,2,4,0,-2,-2,4,2,1,1,2,0,3,16.174696989178475,11.480487673107744,1.3786407766990292
2020-04-30,3,2,2,4,0,-2,-2,4,2,3,1,2,0,3,12.099423843013417,8.757429883489799,2.466019417475728
2020-05-03,3,2,2,-4,0,-2,-2,4,2,3,1,2,0,3,14.29209660762241,11.230823369097267,0.30339805825242716
2020-05-04,2,2,2,-4,0,-2,-2,4,2,3,1,2,0,3,9.776991491600134,7.358803942269507,1.1262135922330097
2020-05-06,2,2,2,-4,0,0,-2,4,2,3,1,2,0,3,9.860305527926203,7.246431933049788,0.6456310679611651
2020-05-07,2,-2,2,-4,0,0,-2,4,2,3,1,2,0,3,8.563468000469884,6.1560705645305305,2.470873786407767
2020-05-14,2,-2,2,-4,0,0,-2,4,2,3,1,2,0,-3,7.369971716549436,4.81604345007563,2.254854368932039
2020-05-16,2,-2,2,-4,0,0,-2,3,2,3,1,2,0,-3,7.922996821067425,5.202323073721647,0.9441747572815534
2020-05-23,-2,-2,2,-4,0,0,-2,3,2,3,1,2,0,2,4.33131108565929,2.8955167266762505,8.58495145631068
2020-07-04,-3,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,3.840095973100307,1.8869319070738055,5.461165048543689
2020-07-07,1,-2,2,-3,0,0,-2,3,2,3,2,2,0,2,3.858295145138953,2.8633405639913234,8.934466019417476
2020-08-04,1,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,6.9391179576785085,5.430884672001669,3.9611650485436893
2020-08-08,-2,-2,2,-3,0,0,-2,3,2,3,2,2,0,2,8.441395582859265,7.230541808599524,9.08252427184466
2020-08-24,-2,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,9.071836088982247,7.448033042182949,7.849514563106796
2020-09-04,1,-2,2,-4,0,0,0,3,2,3,2,2,0,2,15.820959771574792,13.45292375212277,29.070388349514563
2020-10-15,1,-2,2,-4,0,1,1,3,2,3,2,2,0,2,45.684802091695985,38.35745865148116,6.286407766990291
2020-10-22,1,-2,2,-4,0,-2,1,3,2,3,2,2,0,2,93.43508612024303,86.71727444428302,10.495145631067961
2020-11-02,1,2,2,4,0,1,1,3,2,3,2,2,0,2,133.91884939835703,131.34851138353764,8.769417475728156
2020-11-11,1,2,2,4,0,1,1,3,2,1,2,2,0,2,145.7570853288104,142.38554136516723,18.354368932038835
2020-11-30,1,2,2,4,1,1,1,3,2,1,2,2,0,2,162.03254816255443,149.43304690092336,14.575242718446601
