date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,district,fed_state,mean_incidence,num_of_entries
2020-03-07,-2,0,1,0,0,0,0,1,2,1,2,0,0,1,LK Freudenstadt,Baden-Württemberg,0.0,1
2020-03-12,-2,0,-2,-1,0,1,0,1,2,1,2,0,0,1,LK Freudenstadt,Baden-Württemberg,3.3916988171450373,4
2020-03-16,-3,0,-2,-1,0,1,0,3,2,1,2,0,0,1,LK Freudenstadt,Baden-Württemberg,8.479247042862594,2
2020-03-19,3,0,-2,-1,0,1,-2,4,2,1,1,0,0,1,LK Freudenstadt,Baden-Württemberg,11.023021155721372,1
2020-03-20,3,0,2,-1,0,1,-2,4,2,1,1,0,0,1,LK Freudenstadt,Baden-Württemberg,22.893967015729004,1
2020-03-21,3,0,2,-4,0,-2,-2,4,2,1,1,0,0,1,LK Freudenstadt,Baden-Württemberg,22.046042311442744,1
2020-03-22,3,2,2,4,0,-2,-2,4,2,1,1,0,0,3,LK Freudenstadt,Baden-Württemberg,82.16390384533852,10
2020-04-01,3,2,2,4,0,-2,-2,4,2,1,1,1,0,3,LK Freudenstadt,Baden-Württemberg,88.35375418662824,5
2020-04-06,3,2,2,4,0,-2,-2,4,2,1,1,-2,0,3,LK Freudenstadt,Baden-Württemberg,85.47081019205496,20
2020-04-28,3,2,2,4,0,-2,-2,4,2,1,1,2,0,3,LK Freudenstadt,Baden-Württemberg,21.198117607156487,1
2020-04-30,3,2,2,4,0,-2,-2,4,2,3,1,2,0,3,LK Freudenstadt,Baden-Württemberg,15.26264467715267,3
2020-05-04,2,2,2,-4,0,-2,-2,4,2,3,1,2,0,3,LK Freudenstadt,Baden-Württemberg,14.41471997286641,1
2020-05-06,2,2,2,-4,0,0,-2,4,2,3,1,2,0,3,LK Freudenstadt,Baden-Württemberg,10.175096451435111,1
2020-05-07,2,-2,2,-4,0,0,-2,4,2,3,1,2,0,3,LK Freudenstadt,Baden-Württemberg,8.903209395005725,2
2020-05-14,2,-2,2,-4,0,0,-2,4,2,3,1,2,0,-3,LK Freudenstadt,Baden-Württemberg,1.6958494085725186,1
2020-05-16,2,-2,2,-4,0,0,-2,3,2,3,1,2,0,-3,LK Freudenstadt,Baden-Württemberg,1.6958494085725186,1
2020-05-23,-2,-2,2,-4,0,0,-2,3,2,3,1,2,0,2,LK Freudenstadt,Baden-Württemberg,1.6958494085725189,4
2020-07-04,-3,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,LK Freudenstadt,Baden-Württemberg,0.0,1
2020-07-07,1,-2,2,-3,0,0,-2,3,2,3,2,2,0,2,LK Freudenstadt,Baden-Württemberg,3.052528935430534,10
2020-08-04,1,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,LK Freudenstadt,Baden-Württemberg,6.359435282146945,2
2020-08-08,-2,-2,2,-3,0,0,-2,3,2,3,2,2,0,2,LK Freudenstadt,Baden-Württemberg,6.971825346353688,9
2020-08-24,-2,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,LK Freudenstadt,Baden-Württemberg,8.950316323021628,9
2020-09-04,1,-2,2,-4,0,0,0,3,2,3,2,2,0,2,LK Freudenstadt,Baden-Württemberg,10.028902536902997,29
2020-10-15,1,-2,2,-4,0,1,1,3,2,3,2,2,0,2,LK Freudenstadt,Baden-Württemberg,46.51472663513194,7
2020-10-22,1,-2,2,-4,0,-2,1,3,2,3,2,2,0,2,LK Freudenstadt,Baden-Württemberg,79.70492220290839,10
2020-11-02,1,2,2,4,0,1,1,3,2,3,2,2,0,2,LK Freudenstadt,Baden-Württemberg,114.94090435880405,9
2020-11-11,1,2,2,4,0,1,1,3,2,1,2,2,0,2,LK Freudenstadt,Baden-Württemberg,127.1887056429389,19
2020-11-30,1,2,2,4,1,1,1,3,2,1,2,2,0,2,LK Freudenstadt,Baden-Württemberg,199.88411695708092,15
2020-12-15,3,2,2,4,1,1,1,3,2,1,2,2,0,2,LK Freudenstadt,Baden-Württemberg,300.16534531733583,1
2020-12-16,3,3,2,4,1,2,1,3,2,1,2,2,0,2,LK Freudenstadt,Baden-Württemberg,219.3041621540371,11
2020-12-27,3,3,2,4,1,2,1,3,2,1,2,2,2,2,LK Freudenstadt,Baden-Württemberg,136.51587739008775,9
2021-01-05,3,3,2,4,1,2,-2,3,2,1,1,2,2,2,LK Freudenstadt,Baden-Württemberg,139.39882138466106,5
2021-01-10,3,3,2,4,1,-2,-2,3,2,1,1,2,2,2,LK Freudenstadt,Baden-Württemberg,68.50442843466199,43
2021-02-22,-3,3,2,4,1,-2,-2,3,2,1,1,2,2,2,LK Freudenstadt,Baden-Württemberg,26.285665832874038,2
2021-02-24,-3,3,2,4,1,-2,-2,3,2,1,1,2,3,2,LK Freudenstadt,Baden-Württemberg,39.68287616059694,5
2021-03-01,-3,2,2,4,1,-2,-2,3,2,1,1,2,3,2,LK Freudenstadt,Baden-Württemberg,79.57103935486319,19
2021-03-20,-3,2,2,4,1,-2,1,3,2,3,1,2,3,2,LK Freudenstadt,Baden-Württemberg,148.37336412780513,63
2021-05-22,-3,2,2,4,1,-2,1,3,2,3,2,2,3,2,LK Freudenstadt,Baden-Württemberg,68.3992594790916,9
2021-05-31,1,2,2,4,1,-2,1,3,2,3,2,2,3,2,LK Freudenstadt,Baden-Württemberg,60.48529557241983,6
2021-06-06,1,2,2,4,1,1,1,3,2,3,2,2,3,2,LK Freudenstadt,Baden-Württemberg,43.24415991859922,1
2021-06-07,1,2,2,4,1,1,1,3,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,8.155493973953295,55
2021-08-01,1,2,2,4,1,1,1,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,6.783397634290075,2
2021-08-03,1,2,2,4,1,1,0,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,23.642135872452172,17
2021-08-20,1,2,2,3,1,1,0,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,51.72340696146182,3
2021-08-23,-3,2,2,3,1,1,0,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,63.59435282146946,5
2021-08-28,-3,-2,2,3,1,1,0,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,85.27699883107523,14
2021-09-11,1,-2,2,3,1,1,0,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,86.82748971891296,10
2021-09-21,1,-2,2,-3,1,1,0,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,98.78322804934922,10
2021-10-01,1,-2,-2,-3,1,1,0,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,116.35411219928116,9
2021-10-10,1,-2,-2,-3,0,1,0,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,120.1697733685693,18
2021-10-28,1,-2,2,-4,0,1,0,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,171.67214012934113,13
2021-11-10,-2,-2,2,-4,0,1,0,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,317.12383940306097,5
2021-11-15,1,-2,2,4,0,2,-2,2,2,3,2,2,5,2,LK Freudenstadt,Baden-Württemberg,452.74333924861764,70
2022-01-24,1,1,1,4,0,2,0,2,2,3,2,2,5,3,LK Freudenstadt,Baden-Württemberg,1925.1454528808852,69
2022-04-03,1,1,0,0,0,1,1,2,2,3,2,2,5,3,LK Freudenstadt,Baden-Württemberg,1210.6244965447067,12
2022-04-19,1,1,0,0,0,1,1,1,2,3,2,2,5,3,LK Freudenstadt,Baden-Württemberg,581.3937055722785,6
2022-04-25,0,1,0,0,0,1,1,1,2,3,2,2,5,3,LK Freudenstadt,Baden-Württemberg,728.7441764060242,9
