administrative_area_level_3,year,week,confirmed,deaths,recovered,vaccines,people_vaccinated,people_fully_vaccinated,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,latitude,longitude,population,cfr,cases_per_population,incidence
LK Ahrweiler,2020,11,8.333333333333334,0.0,8.333333333333334,0.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,50.47848511,7.12125836781448,129727.0,0.0,6.423746277439033e-05,1
LK Ahrweiler,2020,12,32.42857142857143,0.0,32.42857142857143,0.0,0.0,0.0,1.2857142857142858,0.2857142857142857,-0.2857142857142857,-0.7142857142857143,0.0,0.14285714285714285,-1.0,3.7142857142857144,2.0,1.0,1.2857142857142858,0.0,0.0,1.2857142857142858,50.47848511,7.121258367814481,129727.0,0.0,0.0002499754979963,2
LK Ahrweiler,2020,13,58.285714285714285,0.7142857142857143,57.57142857142857,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,-2.0,-2.0,4.0,2.0,1.0,1.0,0.0,0.0,3.0,50.47848511,7.121258367814481,129727.0,0.011648220420642242,0.0004492951682048286,3
LK Ahrweiler,2020,14,82.42857142857143,1.0,81.42857142857143,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,-2.0,-2.0,4.0,2.0,1.0,1.0,0.7142857142857143,0.0,3.0,50.47848511,7.121258367814481,129727.0,0.012248995578391429,0.0006354002746426429,4
LK Ahrweiler,2020,15,106.16666666666667,1.0,105.16666666666667,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,-2.0,-2.0,4.0,2.0,1.0,1.0,-2.0,0.0,3.0,50.47848511,7.12125836781448,129727.0,0.009433377315529684,0.0008183852757457001,6
LK Ahrweiler,2020,16,114.0,1.0,113.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,-2.0,-2.0,4.0,2.0,1.0,1.0,-2.0,0.0,3.0,50.47848511,7.12125836781448,129727.0,0.0087723798401994,0.0008787684907536,6
LK Ahrweiler,2020,17,117.0,1.0,116.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,-2.0,-2.0,4.0,2.0,1.0,1.0,-2.0,0.0,3.0,50.47848511,7.12125836781448,129727.0,0.0085476329631794,0.0009018939773523999,7
LK Ahrweiler,2020,18,127.4,1.0,126.4,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,-2.0,-2.0,4.0,2.0,2.6,1.0,2.0,0.0,3.0,50.47848511,7.121258367814479,129727.0,0.007864872737410319,0.00098206233089484,8
LK Ahrweiler,2020,19,143.8,1.0,142.8,0.0,0.0,0.0,2.0,-0.4,2.0,-4.0,0.0,-0.8,-2.0,4.0,2.0,3.0,1.0,2.0,0.0,3.0,50.47848511,7.121258367814479,129727.0,0.00696152354104288,0.00110848165763484,9
LK Ahrweiler,2020,20,161.33333333333334,1.0,160.33333333333334,0.0,0.0,0.0,2.0,-2.0,2.0,-4.0,0.0,0.0,-2.0,3.8333333333333335,2.0,3.0,1.0,2.0,0.0,-2.0,50.47848511,7.12125836781448,129727.0,0.0062076537177263,0.0012436372793121332,10
